lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.67144570471562,-72.57899015602133,173,2024,BOULDER CIR,Local,Local Intersections,173,104,232,167,193,261,210,231,189.0,0.0,173.0,0.0
41.72599296617929,-72.60651530554381,85,2024,DENSLOW RD,Local,Local Intersections,85,114,230,233,533,714,522,528,594.0,0.0,85.0,0.0
41.729387357785455,-72.57872656994216,5000,2024,ADDISON RD,Minor Arterial,Local Intersections,5000,4500,4500,4500,5300,5300,5300,4600,4940.0,0.0,5000.0,0.0
41.68286786232522,-72.56977448087213,145,2024,APPLEWOOD LA,Local,Local Intersections,145,111,157,149,256,438,319,330,258.0,0.0,145.0,0.0
41.679953600270224,-72.58660265339994,2169,2024,COLEMAN RD,Local,Local Intersections,2169,1693,2413,3968,1357,1588,1367,1302,1238.0,0.0,2169.0,0.0
41.6776514830265,-72.58563491104992,3300,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3300,3100,3100,3100,3100,3100,3100,3189,3553.0,0.0,3300.0,0.0
41.72930177204414,-72.57783858368506,81,2024,APRIL DR,Local,Local Intersections,81,101,94,224,394,662,482,507,547.0,0.0,81.0,0.0
41.676925384120125,-72.59080320237042,3300,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3300,3100,3100,3100,3100,3100,3100,3189,3553.0,0.0,3300.0,0.0
41.69741423622654,-72.5987414678655,2338,2024,BUTTONBALL LA,Local,Local Intersections,2338,2239,4711,5609,3608,4632,3673,3851,1900.0,0.0,2338.0,0.0
41.6772200020753,-72.57752746681348,2800,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,2800,2550,2550,2550,2700,2700,2700,2550,3773.0,0.0,2800.0,0.0
41.72930055230476,-72.60046678767941,145,2024,BARRY LA,Local,Local Intersections,145,101,256,132,458,668,570,579,559.0,0.0,145.0,0.0
41.69126171399412,-72.6066964044932,154,2024,CURTIS RD,Local,Local Intersections,154,117,140,229,449,448,363,411,409.0,0.0,154.0,0.0
